"match_id","team_name","duration_perc","angleratio","highpassperc","passesreceivedperc","fouls","percentpassdeflect","numthroughballs","percentpassmiscom","standing_diving","team_id","Percent_of_On_Target_Shots","Total_shots","Ratio_of_Shots","Previous_matches_win_percentage","count_dribbles","score","outcome"
3835319,"Austria Women's",0.453869575186019,0.95049504950495,0.244949494949495,0.825757575757576,10,0,0,0,5,859,0.777777777777778,9,0.5625,NA,18,0,"lose"
3835319,"England Women's",0.546130424813981,0.958620689655172,0.214035087719298,0.917543859649123,5,0.0503524672708963,1,0,0,865,0.5625,16,1.77777777777778,NA,17,1,"win"
3835320,"Northern Ireland",0.330696245831291,0.967741935483871,0.211038961038961,0.899350649350649,7,0.157728706624606,1,0.0788643533123028,4,2457,0.428571428571429,7,0.333333333333333,NA,11,1,"lose"
3835320,"Norway Women's",0.669303754168709,0.954861111111111,0.136042402826855,0.920494699646643,7,0.0534473543559594,10,0,2,852,0.666666666666667,21,3,NA,19,4,"win"
3835321,"WNT Finland",0.234919144663515,1,0.370689655172414,0.788793103448276,10,0,2,0,7,920,0.727272727272727,33,8.25,NA,9,1,"lose"
3835321,"Spain Women's",0.765080855336485,0.953929539295393,0.121715076071923,0.9432918395574,9,0.0412031314379893,2,0,2,863,0.5,4,0.121212121212121,NA,15,4,"win"
3835322,"Denmark Women's",0.37764857557046,0.905325443786982,0.303405572755418,0.773993808049536,11,0,1,0.0844594594594595,5,853,0.333333333333333,6,0.272727272727273,NA,22,0,"lose"
3835322,"Germany Women's",0.62235142442954,0.927152317880795,0.184615384615385,0.904273504273504,11,0.0512820512820513,3,0.0512820512820513,0,857,0.863636363636364,22,3.66666666666667,NA,10,4,"win"
3835323,"Switzerland Women's",0.383025308114123,1.03743315508021,0.263020833333333,0.846354166666667,17,0.0698324022346369,0,0,1,860,0.588235294117647,17,2.42857142857143,NA,17,2,"tie"
3835323,"Portugal Women's",0.616974691885877,1.00396825396825,0.158823529411765,0.966666666666667,9,0.0525762355415352,6,0,2,864,0.857142857142857,7,0.411764705882353,NA,21,2,"tie"
3835324,"Sweden Women's",0.527569470189928,1.12931034482759,0.214428857715431,0.913827655310621,9,0,0,0,2,858,0.6,10,1,NA,25,1,"tie"
3835324,"Netherlands Women's",0.472430529810072,1.06034482758621,0.219917012448133,0.87551867219917,4,0.0579710144927536,2,0,2,851,0.6,10,1,NA,19,1,"tie"
3835325,"Italy Women's",0.437516933210078,0.857843137254902,0.182767624020888,0.885117493472585,12,0,6,0.0686813186813187,1,855,0.769230769230769,13,0.8125,NA,17,1,"lose"
3835325,"France Women's",0.562483066789922,0.959409594095941,0.149812734082397,0.926966292134832,8,0,1,0,2,861,0.625,16,1.23076923076923,NA,16,5,"win"
3835326,"Iceland Women's",0.443198839278383,0.956730769230769,0.329268292682927,0.865853658536585,7,0.0712758374910905,1,0,5,862,0.428571428571429,21,2.1,NA,22,1,"tie"
3835326,"Belgium Women's",0.556801160721617,0.907258064516129,0.228511530398323,0.882599580712788,7,0,1,0,2,854,0.8,10,0.476190476190476,NA,30,1,"tie"
3835327,"Norway Women's",0.316142795761841,1.07692307692308,0.24390243902439,0.856707317073171,10,0,1,0,11,852,0.5,4,0.166666666666667,0,14,0,"lose"
3835327,"England Women's",0.683857204238159,0.947019867549669,0.175379426644182,0.942664418212479,5,0,1,0,1,865,0.625,24,6,100,23,8,"win"
3835328,"Northern Ireland",0.395975806394929,0.883720930232558,0.280487804878049,0.817073170731707,9,0,0,0,8,2457,0.5,4,0.222222222222222,0,8,0,"lose"
3835328,"Austria Women's",0.604024193605071,1.01351351351351,0.22787610619469,0.884955752212389,7,0.0643500643500644,6,0,2,859,0.777777777777778,18,4.5,100,27,2,"win"
3835329,"WNT Finland",0.447085413471602,0.945833333333333,0.204255319148936,0.957446808510638,5,0.117577895355673,1,0.0587889476778366,3,920,0.684210526315789,19,2.11111111111111,0,14,0,"lose"
3835329,"Denmark Women's",0.552914586528398,0.989830508474576,0.179661016949153,0.905084745762712,10,0,0,0,0,853,0.222222222222222,9,0.473684210526316,100,18,1,"win"
3835330,"Spain Women's",0.754026106560985,0.964577656675749,0.110192837465565,0.932506887052342,9,0.0847816871555744,3,0.0423908435777872,2,863,0.714285714285714,7,0.538461538461538,0,12,0,"lose"
3835330,"Germany Women's",0.245973893439015,1.06711409395973,0.363344051446945,0.816720257234727,17,0,1,0,-2,857,0.538461538461538,13,1.85714285714286,100,24,2,"win"
3835331,"Switzerland Women's",0.447121083571514,0.881578947368421,0.215277777777778,0.856481481481482,15,0,0,0,3,860,0.833333333333333,6,0.375,0,21,1,"lose"
3835331,"Sweden Women's",0.552878916428486,0.84406779661017,0.221206581352834,0.923217550274223,13,0,6,0,1,858,0.6875,16,2.66666666666667,0,19,2,"win"
3835332,"Portugal Women's",0.393688840757283,1.01212121212121,0.25,0.734939759036145,11,0,0,0.0791765637371338,-1,864,0.8,10,0.555555555555556,0,17,2,"lose"
3835332,"Netherlands Women's",0.606311159242717,0.981412639405205,0.225325884543762,0.918063314711359,9,0.0537634408602151,3,0.0537634408602151,7,851,0.5,18,1.8,0,23,3,"win"
3835333,"Belgium Women's",0.361702582549921,0.818181818181818,0.159144893111639,0.990498812351544,14,0,4,0.063653723742839,0,854,1,1,0.0384615384615385,0,19,1,"lose"
3835333,"France Women's",0.638297417450079,1.01286173633441,0.123809523809524,0.911111111111111,2,0.140712945590994,4,0,1,861,0.538461538461538,26,26,100,7,2,"win"
3835334,"Iceland Women's",0.321992901966807,0.948905109489051,0.420074349442379,0.736059479553903,19,0,0,0,5,862,0.523809523809524,21,2.1,0,11,1,"tie"
3835334,"Italy Women's",0.678007098033193,1.03529411764706,0.238003838771593,0.890595009596929,10,0.0545851528384279,1,0,-1,855,0.3,10,0.476190476190476,100,26,1,"tie"
3835335,"England Women's",0.792152127417105,0.951951951951952,0.15668202764977,0.927803379416283,6,0,3,0,0,865,0.5,28,5.6,0,14,5,"win"
3835335,"Northern Ireland",0.207847872582895,0.98936170212766,0.430851063829787,0.707446808510638,7,0.116414435389988,2,0,-2,2457,1,5,0.178571428571429,100,28,0,"lose"
3835336,"Norway Women's",0.540739762979973,0.95364238410596,0.172529313232831,0.884422110552764,9,0.0970873786407767,1,0.0970873786407767,3,852,0.444444444444444,9,0.428571428571429,0,12,0,"lose"
3835336,"Austria Women's",0.459260237020027,0.96969696969697,0.302030456852792,0.901015228426396,8,0,2,0.0630914826498423,2,859,0.666666666666667,21,2.33333333333333,100,29,1,"win"
3835337,"Spain Women's",0.726921162794054,0.959798994974874,0.125480153649168,0.866837387964149,2,0,0,0,2,863,0.444444444444444,9,0.6,0,12,1,"win"
3835337,"Denmark Women's",0.273078837205946,1.11643835616438,0.394904458598726,0.589171974522293,7,0,0,0,5,853,0.6,15,1.66666666666667,100,27,0,"lose"
3835338,"Germany Women's",0.666834319380259,1.0418118466899,0.188135593220339,0.932203389830508,12,0.0471475719000471,0,0,0,857,1,1,0.032258064516129,0,14,3,"win"
3835338,"WNT Finland",0.333165680619741,1.10909090909091,0.255681818181818,0.880681818181818,13,0.0724112961622013,4,0.0724112961622013,8,920,0.741935483870968,31,31,100,12,0,"lose"
3835339,"Netherlands Women's",0.500711704800022,1.05803571428571,0.172043010752688,0.963440860215054,12,0.056657223796034,3,0,3,851,0.722222222222222,18,1.5,0,15,4,"win"
3835339,"Switzerland Women's",0.499288295199978,0.918367346938776,0.190274841437632,0.951374207188161,4,0.111049416990561,0,0,5,860,0.833333333333333,12,0.666666666666667,50,10,1,"lose"
3835340,"Portugal Women's",0.496984128606411,0.964285714285714,0.19578313253012,0.846385542168675,11,0,1,0,7,864,0.285714285714286,7,0.4375,0,11,0,"lose"
3835340,"Sweden Women's",0.503015871393589,0.948453608247423,0.235602094240838,0.832460732984293,10,0,2,0,2,858,0.75,16,2.28571428571429,50,20,5,"win"
3835341,"Belgium Women's",0.421751274313121,0.970588235294118,0.207627118644068,0.938559322033898,8,0,1,0,6,854,0.444444444444444,9,0.428571428571429,0,6,1,"win"
3835341,"Italy Women's",0.578248725686879,0.890070921985816,0.173507462686567,0.932835820895522,7,0,1,0,1,855,0.619047619047619,21,2.33333333333333,50,20,0,"lose"
3835342,"France Women's",0.591928828643437,0.944029850746269,0.148007590132827,0.946869070208729,10,0,1,0.0551267916207277,-2,861,0.375,8,0.444444444444444,0,18,1,"tie"
3835342,"Iceland Women's",0.408071171356563,0.85632183908046,0.353658536585366,0.856707317073171,11,0,1,0,2,862,0.833333333333333,18,2.25,0,16,1,"tie"
3844384,"Spain Women's",0.57637980259955,0.980281690140845,0.185552407932011,0.907932011331445,19,0,3,0,1,863,0.5,10,0.555555555555556,33,21,1,"lose"
3844384,"England Women's",0.42362019740045,1.02973977695167,0.270566727605119,0.888482632541133,16,0.0504286434694907,1,0,4,865,0.5,18,1.8,66,12,2,"win"
3844385,"Austria Women's",0.375830088276319,0.948863636363636,0.365217391304348,0.881159420289855,14,0,2,0,3,859,0.583333333333333,12,0.571428571428571,0,18,0,"lose"
3844385,"Germany Women's",0.624169911723681,0.938931297709924,0.21259842519685,0.915354330708661,11,0.0551876379690949,1,0,1,857,0.523809523809524,21,1.75,66,17,2,"win"
3844386,"Belgium Women's",0.468557265171876,0.893805309734513,0.284722222222222,0.895833333333333,6,0.193548387096774,1,0,6,854,0,3,0.0882352941176471,33,19,0,"lose"
3844386,"Sweden Women's",0.531442734828125,1.0126582278481,0.228033472803347,0.870292887029289,3,0,1,0,0,858,0.470588235294118,34,11.3333333333333,66,16,1,"win"
3844387,"Netherlands Women's",0.495988870743316,0.843949044585987,0.203098106712565,0.943201376936317,16,0,0,0,2,851,0.666666666666667,9,0.272727272727273,33,13,0,"lose"
3844387,"France Women's",0.504011129256684,0.95859872611465,0.183870967741935,0.975806451612903,7,0,3,0,1,861,0.515151515151515,33,3.66666666666667,66,19,1,"win"
3845506,"Sweden Women's",0.412521418984739,0.744075829383886,0.304582210242588,0.824797843665768,14,0,0,0,0,858,0.588235294117647,17,1.54545454545455,0,14,0,"lose"
3845506,"England Women's",0.587478581015261,0.890196078431372,0.236514522821577,0.856846473029046,7,0,0,0,-1,865,0.636363636363636,11,0.647058823529412,75,24,4,"win"
3845507,"France Women's",0.468571694206321,1.01754385964912,0.220779220779221,0.878787878787879,8,0,3,0.0609384521633151,1,861,0.7,10,0.714285714285714,0,12,1,"lose"
3845507,"Germany Women's",0.531428305793679,0.94273127753304,0.191441441441441,0.885135135135135,14,0,0,0,3,857,0.642857142857143,14,1.4,75,21,2,"win"
3847567,"Germany Women's",0.481612071937415,0.939285714285714,0.256880733944954,0.706422018348624,22,0.0544365813826892,1,0.217746325530757,7,857,0.8,15,1.15384615384615,20,16,1,"lose"
3847567,"England Women's",0.518387928062585,1.01167315175097,0.266666666666667,0.76,20,0,1,0.0543183052688756,3,865,0.615384615384615,13,0.866666666666667,80,11,2,"win"
